,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
44,si figurado porque esta hablando con pret,su hermano es muy travieso,el mar porque esta muy grande,es igual a la luna de redonda,color carne,amarillas y rosas,rojo y muy chiquitos,grande pero después de hace chiquita,pasan muchas festividades,se pasa el tiempo rápido,ningún ser vivo tiene ojos de miel,los animales ni las personas tienen ojos de miel,algunas personas usan collares,solo las mujeres usan collares de perlas,ninguna persona usa escoba de cristal,ningún ser vivo usa escoba de cristal,todas las personas comen comida salada,las personas comen comida salada,no importa que tanto abrazes,lo que importa que lo haga bien,si no haces esfuerzo no vas a lograr nada,si no haces las cosas bien todo te va a salir bien,0,no,0,0,si no das prisa los días se van volando,todas las cosas se van rápido
45,no porque no existen esas pelotas y menos su familia,que grita mucho,nada porque no existen esas pelotas,0,de papel,de oro,fríos,tibia,va muy lento,que los segundos se van muy rápido,ojos dulces,por que se entiende,que es un collar de perlas,por que es verdad,que son escobas de cristal,no existen,que la comida esta salada,por que a veces la comida queda salada,0,0,0,0,0,0,0,0,0,0
46,si es un poema,que su hermano es griton,que es suave,que se parece a la luna,que parece una hoja de papel lisa,son flores bañadas en oro,que el corazón es muy frio,es hermosa su sonrisa,que el año pasa lento,que el tiempo corre,por que no e visto alguna con ojos amarillos,no por que no hay una persona con ojos como de miel,son collares muy valiosos por que son de piedra,si porque si ay collares de perlas,por que si es de cristal se cae y se rompe,no por que si la hubiera nadie la compraría por que se cae y se rompe,por que mucha gente esta sana,si por que ay personas que comen comida sana como no comen dada de comida chatarra,que una persona tiene los brazos suaves,ay personas que dan abrazos suaves,porque todos los lapices saber a madera,algunos saben a madera,no hay hornos que caminen o se acerquen,no por que no hay horno que camine,por que un tren traslada personas,si por que los traslada a lugares,por que pasan rápido,si algunas personas dicen así porque los días pasan
47,si se refiere a jugar,es muy escandaloso,un gato creo,creo que es una bala de imán,flexible,muy hermosas y costosas,muertos,contenta,se nos pasa lentamente,estamos concentrados,0,porque no ay de ese color,son muy costosos,porque si existen,se rompen,se romperías y no podrías barrer,se pasan de al con la comida,sino no casi no tela puedes comer,con cariño,si porque le tienes un gran cariño a alguien,es un árbol,porque casi todo tiene sabor menos el aire,0,0,anda para todos lados,viajan con la gente,son rápidos,si pasan rápido
48,si porque son juguetes,llora por ella,la de los gatos,una canica de fierro,como la de una momia,no existen,no tienen sentimientos,no quiere sonreír,pasan muchos días,pasa muy rápido el tiempo,esta bonito de sus ojos,hay muchas personas que así los tienen,un collar se lo das al que mas quieres,yo he visto muchos,son escobas hechas de vidrio,no es posible,la comida tiene mucha sal,muchas veces que que echan mucha sal,son muy quedito,muchas veces te los da tu mama,no tienen sabor,nunca ha existido un lápiz así,se mueven,nunca se mueven,un tren en movimiento,hace muchos viajes,se pasan de rápido,siempre avanza el día
49,no porque no canta,que su hermano grita mucho,su perro,que la pelota puede ser dura,suave,bonitas y huelen bien,rojos,feliz,que va lento,que va muy rápido el tiempo,que sus ojos son bonitos,no porque no pueden existir unos ojos de miel,que tu collar es brillante,si por que si existen los collares de perlas,que es frágil,no por que se rompen muy fácil,que no sabe bien,por que puede ser una comida salda,que es muy suave,si por que e lo abrazos son suaves,que no tiene sabor,no por que uno no tiene sabor,que hace mucho calor,no por que no se puede acercar un horno a ti,que se mueve el tren,si por que se mueve,que viene otro día,que cuando día se acaba viene otro
50,si porque lo revise 3,porque esa pelota esta muy poco inflada,una pelota que le cayo pelo de la peluquería,una pelota de color plateada,un campo de fuerza para todo nuestro cuerpo de color rosado,es un palo poco duro color verde y amarillo y un capullo en el que hay hojas de colores llamados pétalos,tienes una forma de papa con miles de cables y unos tubos de cartón,es una medida rosada con unos ladrillos cuadrados de color blanco,cuando estas feliz te entretienes y no notas el tiempo pero cuando estas enojado se te va el tiempo,cuando los segundos pasan se mueren y van al cielo,que tengas ojos de miel,por que las abejas no te pueden hacer unos ojos,un colar hecho de perla,por que las almejas si te pueden hacer perlas,una escoba hecha de cristal,por que al tercer barrido ya se rompe,una comida con sal,si creen que no es posible aprendan a usar el salero,muy poco fuerte,por que puedo darle un abrazo suave a la,lápiz con sabor misterioso,por que el lápiz estaría desabrido,los hornos se viene para acá,por que los hornos no tienen piernas,el tren va de un lugar a otro,si por que se su tarea diaria,los días se van,los días se asustan cuando viene la noche
51,si porque es una persona que canta,que grita mucho,mi hermano porque es ruidoso,algo que aprecio mucho,suave,muy bonitas,no tienen sentimientos,esta normal,sientes que el año va lento,el tiempo se pasa rápido,ojos de color café claro,0,collares con joyería,0,algo frágil,0,comida sin sabor,0,un abrazo suave,0,al lápiz se le acaba la punta,0,el horno esta caliente,0,el tren va a algún lado,0,los días se pasan rápido,0
52,no porque es algo muy raro,una persona que grita mucho,algo que tiene mucho pelo porque así es como se oye,algo duro,suave y resbalosa,coloridas y olorosas,rojos y medianos,larga y graciosa,se celebran algunas cosas,que los segundos pasan rápido,que tengas ojos como miel,no por que no puedes tener ojos de miel,que tengas un collar de perlas,si por que puede existir un collar de perlas,que tengas una escoba hecha de cristal,no por que nunca se ha hecho aunque se puede hacer,que sirvan comida salada,si por que puede haber comida salada,cuando te dan un abrazo no tan fuerte,si por que puede sentirse suave,un lápiz por supuesto no tiene sabor,si por que un lápiz no tiene sabor,que los hornos se mueven,no por que los hornos no se mueven,el tren viaja a muchos lugares,si por que el tren viaja a muchos lugares,los días pasan,si por que los días van pasando
53,no porque las pelotas no son seres vivos,que su hermano grita mucho,perro tiene muchos pelos,un robot,de papel,de oro,fríos,tibia,va muy lento,que siempre suben al primer lugar,que los ojos son bonitos,no por que los ojos no son de miel son de agua,que es bonito como perla,si por que hay collares de perlas,que sus sentidos rompen fácil como cristal,no por que no hay escobas se cristal,sus sentidos son bonitos,por que pueden existir algo salado,que abrazan suave,porque puedes abrazar suave,que los lápiz sin sabor,por que los lápiz no tienen sabor,lo caliente se acerca,no por que los hornos no tienen pies,que puedes viajar con el tren,si por que hay tren,el día va rápido,si por que muchas personas le va el día
54,si porque están describiendo a las personas y a los seres vivos como las pelotas,que su hermano grita mucho,hamster porque el chiste es que tenga pelos,0,muy frágil,muy bonitas,que no tienen sentimientos,que la sonrisa es muy bonita,que el año se va muy lento,que los segundos se pasan muy rápido,que sus ojos son muy bonitos,no es posible por que la frase esta en figurado,que el collar esta hecho de perlas,es posible por que el collar puede estar hecho de perlas,que es muy delicada la escoba,no por que una escoba no puede estar hecha de cristal,que la comida trae mucha sal,si por que la comida puede tener mucha sal,que los abrazos son muy suaves,si por que la piel es muy suave,que el lápiz no tiene sabor,si por que el lápiz no tiene sabor,que se acerca la época del sabor,no por que los hornos no tienen vida propia ni piernas,que el tren viaja,es posible por que los trenes siempre viajan,que los días pasan muy rápido,no por que los días no pueden correr
55,no porque las pelotas no cantan,que su hermano grita mucho,gato porque tiene mucho pelo,la luna porque es una esfera y es gris como la plata,de papel,amarillos,fríos,tibia,va lento,que pasan muy rápido,que tienen los ojos del color de la miel,por que no puedes tener ojos de un alimento,un collar de un material muy costoso,porque es muy común que los usen,una escoba hecha de vidrio,porque una escoba de vidrio no barre,comida con sal,por que a muchos les gusto ese sabor,un abrazo sin fuerza,porque puedes dar un abrazo con la fuerza que quieras,un lápiz que no se sabe a nada,por que un lápiz no se come,un horno va hacia ti,por que los hornos no caminan,el tren va de un lado a otro,por que el tren lleva gente a otro lugar,los días pasan rápido,por que si estas divertido se pasa bien rápido
56,no porque las pelotas no tienen boca,es un niño griton,un erizo tiene muchos pinchos,las niñas porque son ordenadas,suave,brillantes,tristes,decepcionada,ve muy lento,el tiempo va rápido,ojos brillantes,porque los ojos no son de miel,collares hechos de perlas,por que hay collares hechos de perlas,escobas frágiles,porque si intentarías barrer se rompe la escoba,comida no buena,porque las tostadas son saladas algunas,abrazos débiles,por que puedes dar un abrazo a,lápiz desabrido,porque los lapices son de madrea y no sabe a nada,los calores se acercan,por que los hornos no pueden caminar,el tren avanza,un tren no puede subirse a un tren,los días pasan,porque los días no tienen piernas
57,no porque las pelotas no cantan,que mi hermanito grita mucho,una pelota que tiene pelos,una pelota hecha de plata,café,de colores,rojos,rosa,tarda mucho,los segundos son rápidos,ojos con miel,por que no hay ojos de miel,un hilo con perlas,por que vienen de las almejas,una escoba echa con cristal,por que no existen escobas de cristal,comida con sal,si por que existe la comida salada,dar un abrazo suave,nada mas tienes que abrazarlo,un lápiz que no tiene sabor,comer un lápiz que no tiene sabor,los hornos caminan,los hornos no tienen pies,el tren se mueve,el tren viaja en vías,los días son rápidos,los días son muy rápidos
58,si porque tu te puedes expresar,que es griton,cabeza porque tiene pelos,balones porque es lo que mas me gusta,suave,suaves coloridas bonitas,0,alegre bonita,se pasa rapidísimo,todo se pasa rapidísimo,que los ojos de una persona son de miel,no porque quien van a tener ojos de miel,un collar de perlas,si porque si pueden tener un collar de perlas,una escoba de cristal,no porque no pueden tener una escoba de cristal,una comida que tiene mucha sal,si porque casi siempre te dan comida salada,abraza muy quedito,si una persona te puede abrazar suave,lápiz que no tiene sabor,no como un lápiz tiene sabor,unos hornos se están acercando,no porque los hornos no se pueden mover,un tren que viaja,porque existen trenes que viajan,los días pasan,si porque los días pasan
59,no porque las pelotas no cantan,que su hermano grita mucho,un hamster porque perro ya se ocupa mucho,que mi papa es una pelota de plata porque vale mucho mas que la plata,suave,muy suaves,rojos,bonita,se queda atrás,que los segundos se pasan,que tiene ojos claros como la miel,no porque los ojos son de otro material,que un collar esta hecho de unas perlas muy caras,si es posible porque en las joyerías hay,escobas de materia muy ligero,que no porque el cristal es muy ligero para uso rudo como el de la escoba,comida con mucha sal,si casi toda la comida usa sal,abrazos que no aplastan,si porque unas manos suaves dan abrazos suaves,que los lapices no saben a nada,no porque son de madera,los hornos vienen hacia nosotros,no porque no tienen piernas,el tren va por su vía,si por que el tren debe llevar cosas,que los días pasan y pasan,si porque los días deben de pasar a fuerzas
60,no porque una pelota no pueden ser todas las cosas,que su hermano es muy griton,perro porque tiene muchos pelos,porque es de las únicas que que pueden ser de plata,lisa y delgada,brillantes coloridas y llamativas,tristes y sin sentimientos,brilla y natural de felicidad,que para esa persona se le hace lento por que hace muchas cosas en un día,que las cosas pueden pasar muy rápido,que sus ojos son bellos,por que una persona ni un animal puede tener miel en los ojos o ojos de miel,que los collares son bellos y valiosos,porque un collar de perlas existe pero se refiere a que es bello como perlas,que las escobas son útiles como cristal,las escobas no son de cristal porque al momento de barrer se romperían,que no esta del todo rica,que no es malo comerlo o algo así pero no sabe bueno,que se siente bien que te abracen,porque los abrazos pueden ser suaves,que algunas cosas no tienen sabor,el lápiz no se come y que si lo comieras no tuviera sabor,que las cosas siempre se acercan,porque los hornos no caminan solo camina el tiempo que le pones,que puedes viajar en cualquier transporte,que como todo transporte el tren viaja,que todos los días pasan,por que los días pasan aunque no quieras
